trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.62208970552754,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.19659751031499,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.84145432450805,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.40401533031783,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-26.884737177138526,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
